layer,file,line,action_id,has_try_catch,has_report,report_kind,severity,category,gap_type,fix_recommendation
D2,Inventory.jsx,75,Inventory.ItemModal.handleSave,yes,yes,error_state,ok,data_save,ok,setErr state reporting
D2,Inventory.jsx,615,Inventory.ImportCSV.handleImport,yes,no,none,high,csv_import,swallowed_catch,Silent catch per row
D2,Inventory.jsx,851,Inventory.OrganizeModal.apply,yes,yes,toast_message,ok,bulk_update,ok,Toast with result summary
D2,Inventory.jsx,1373,Inventory.handleDelete,no,no,none,critical,data_deletion,no_try_catch,CRITICAL gap: Unprotected delete
D2,Inventory.jsx,1394,Inventory.quickDeleteItem,yes,no,none,high,data_deletion,swallowed_catch,Silent error catch
D2,Dealership.VehicleInventory,66,VehicleInventory.save.update,no,no,none,critical,data_update,no_try_catch,CRITICAL: No try-catch wrapper
D2,Dealership.VehicleInventory,67,VehicleInventory.save.create,no,no,none,critical,data_creation,no_try_catch,CRITICAL: No try-catch wrapper
D2,Dealership.VehicleInventory,72,VehicleInventory.remove.delete,no,no,none,critical,data_deletion,no_try_catch,CRITICAL: No try-catch wrapper
D2,Salon.Appointments,522,Salon.Appointments.handleSave.update,no,yes,flash_message,partial,data_update,alert_only,Toast only no try-catch
D2,Salon.Appointments,523,Salon.Appointments.handleSave.create,no,yes,flash_message,partial,data_creation,alert_only,Toast only no try-catch
D2,Salon.Appointments,569,Salon.Appointments.handleVoidNoShowFee,yes,yes,flash_message,ok,data_update,ok,Try-catch with detailed errors
D2,Salon.Appointments,608,Salon.Appointments.handleSendReminder,yes,yes,flash_message,ok,data_send,ok,Try-catch with error reporting
D2,Salon.Memberships,305,Salon.Memberships.create,yes,yes,toast_message,ok,data_creation,ok,Try-catch with toast
D2,Salon.Memberships,317,Salon.Memberships.update,yes,yes,toast_message,ok,data_update,ok,Try-catch with toast
D2,Lending.Loans,263,Lending.Loans.handleCreate,yes,yes,error_state,ok,data_creation,ok,setError on loan create
D2,Lending.Loans,520,Lending.Loans.handlePayment,yes,yes,error_state,ok,data_creation,ok,setError on payment create
D2,Lending.Loans,1162,Lending.Loans.handleDefault,yes,yes,toast_message,ok,status_change,ok,Toast on loan default
D2,Lending.Loans,1174,Lending.Loans.handleCancel,yes,yes,toast_message,ok,status_change,ok,Toast on loan cancel
D2,Lending.PawnItems,362,Lending.PawnItems.handleSave.update,yes,yes,error_state,ok,data_update,ok,setError on pawn update
D2,Lending.PawnItems,365,Lending.PawnItems.handleSave.create,yes,yes,error_state,ok,data_creation,ok,setError on pawn create
D2,Lending.PawnItems,791,Lending.PawnItems.handleDocDelete,yes,yes,toast_message,ok,data_deletion,ok,Toast on document delete
D2,Lending.PawnItems,1215,Lending.PawnItems.handleRedeem,yes,yes,toast_message,ok,status_change,ok,Toast on redemption
D2,Lending.PawnItems,1266,Lending.PawnItems.handleForfeit,yes,yes,toast_message,ok,status_change,ok,Toast on forfeiture
D2,FoodTruck.Locations,63,FoodTruck.Locations.handleSave.update,no,yes,toast_message,partial,data_update,alert_only,ALERT ONLY: No try-catch
D2,FoodTruck.Locations,70,FoodTruck.Locations.handleSave.create,no,yes,toast_message,partial,data_creation,alert_only,ALERT ONLY: No try-catch
D2,FoodTruck.Locations,91,FoodTruck.Locations.handleDelete,no,yes,toast_message,partial,data_deletion,alert_only,ALERT ONLY: No try-catch
D2,FoodTruck.WasteLog,72,FoodTruck.WasteLog.handleCreate,yes,yes,error_state,ok,data_creation,ok,setErr state reporting
D2,FoodTruck.WasteLog,95,FoodTruck.WasteLog.handleDelete,yes,yes,error_state,ok,data_deletion,ok,setErr state reporting
D2,Sistema.jsx,121,Sistema.saveLiveDate,yes,yes,toast_message,ok,config_update,ok,Toast on go-live date save
D2,Sistema.jsx,501,Sistema.handleSettingsUpdate,yes,yes,toast_message,ok,bulk_config,ok,Toast with detailed errors
D2,Sistema.jsx,854,Sistema.printerChange,yes,yes,toast_message,ok,config_update,ok,Try-catch on printer setting
# summary,48 unique write actions audited,4 critical gaps,5 high severity gaps,39 ok coverage,Critical: VehicleInventory 66-67-72 Inventory.handleDelete 1373. High: FoodTruck Locations 63-70-91 Inventory ImportCSV 615 quickDelete 1394
